Diana,Lace Front,Synthetic,Straight,Medium,Diana-CPW-COSY,CPW COSY,C Part,29.99,42.99,,1!637322709504:1B!637322709511:2!637322709528:99J!637322709559:DKPU!637322709573:F1B-30!637322709535:F4-30!637322709542:WINE!637322709566 ,1!637322709504:1B!637322709511:2!637322709528:99J!637322709559:DKPU!637322709573:F1B-30!637322709535:F4-30!637322709542:WINE!637322709566,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Curly Style,Medium,Diana-CPW-GIA,CPW GIA,C Part,29.99,42.99,,1!637322720509:1B!637322720516:2!637322720523:4!637322720530:F1B-30!637322720547:F4-27-30!637322720554:F4-30!637322720561:TT DKPU!637322720585:TT30!637322720578 ,1!637322720509:1B!637322720516:2!637322720523:4!637322720530:F1B-30!637322720547:F4-27-30!637322720554:F4-30!637322720561:TT DKPU!637322720585:TT30!637322720578,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Curly Style,Long,Diana-CPW-JOLY,CPW JOLY,C Part,29.99,42.99,,1!637322706503:1B!637322706510:2!637322706527:99J!637322706565:F1B-30!637322706534:F4-27-30!637322706541:F4-30!637322706558:NT AUBURN!637322706572:NT FIRE!637322706589,1!637322706503:1B!637322706510:2!637322706527:99J!637322706565:F1B-30!637322706534:F4-27-30!637322706541:F4-30!637322706558:NT AUBURN!637322706572:NT FIRE!637322706589,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Wavy Style,Medium,Diana-CPW-SANDRA,CPW SANDRA,C Part,29.99,42.99,,1!637322725504:1B!637322725511:2!637322725528:4!637322725535:F1B-30!637322725542:F4-27-30!637322725559:F4-30!637322725566:TT DKPU!637322725573:TT4-1010!637322725610 ,1!637322725504:1B!637322725511:2!637322725528:4!637322725535:F1B-30!637322725542:F4-27-30!637322725559:F4-30!637322725566:TT DKPU!637322725573:TT4-1010!637322725610,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Straight,Short,Diana-CPW-SARA,CPW SARA,C Part,29.99,42.99,,1!637322720004:1B!637322720011:2!637322720028:4!637322720035:F1B-30!637322720042:F4-30!637322720059:TT30!637322720066:TT33!637322720073:TT4-1010!637322720080:TT613!637322720097:TT99J!637322720103,1!637322720004:1B!637322720011:2!637322720028:4!637322720035:F1B-30!637322720042:F4-30!637322720059:TT30!637322720066:TT33!637322720073:TT4-1010!637322720080:TT613!637322720097:TT99J!637322720103,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Curly Style,Long,Diana-DPL-ATHENS,DPL ATHENS,Deep Part,34.99,47.99,,1!637322725009:1B!637322725016:2!637322725023:F1B-30!637322725030:F4-27-30!637322725047:F4-30!637322725054:NT AUBURN!637322725108:NT1010!637322725115:TT DKPU!637322725092:TT30!637322725061:TT4-30!637322725078:TT99J!637322725085,1!637322725009:1B!637322725016:2!637322725023:F1B-30!637322725030:F4-27-30!637322725047:F4-30!637322725054:NT AUBURN!637322725108:NT1010!637322725115:TT DKPU!637322725092:TT30!637322725061:TT4-30!637322725078:TT99J!637322725085,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Loose Curl,Long,Diana-DPL-LISBON,DPL LISBON,Deep Part,34.99,47.99,,1!637322861004:1B!637322861011:2!637322861028:4!637322861035:NT AUBURN!637322861066,1!637322861004:1B!637322861011:2!637322861028:4!637322861035:NT AUBURN!637322861066,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Wavy Style,Long,Diana-DPL-LONDON,DPL LONDON,Deep Part,34.99,47.99,,1!637322846506:1B!637322846513:NT23033!637322846537:NT2730613!637322846520,1!637322846506:1B!637322846513:NT23033!637322846537:NT2730613!637322846520,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Wavy Style,Long,Diana-DPL-MADRID,DPL MADRID,Deep Part,34.99,47.99,,1!637322847008:NT23033!637322847039:NT2730613!637322847022,1!637322847008:NT23033!637322847039:NT2730613!637322847022,,,,,,,,,,,,,
Diana,Lace Front,Synthetic,Braid Twist,Long,Diana-DPL-MAMBO,DPL MAMBO,Deep Part,34.99,47.99,,1!637322889503,1!637322889503,,,,,,,,,,,,,
